	newspaper	radio	tv	sales
72	19.3	33.0	26.8	8.8
73	31.3	5.7	129.4	11.0
74	13.1	24.6	213.4	17.0
75	89.4	43.7	16.9	8.7
76	20.7	1.6	27.5	6.9
77	14.2	28.5	120.5	14.2
78	9.4	29.9	5.4	5.3
79	23.1	7.7	116.0	11.0
80	22.3	26.7	76.4	11.8
81	36.9	4.1	239.8	12.3
82	32.5	20.3	75.3	11.3
83	35.6	44.5	68.4	13.6
84	33.8	43.0	213.5	21.7
85	65.7	18.4	193.2	15.2
86	16.0	27.5	76.3	12.0
87	63.2	40.6	110.7	16.0
88	73.4	25.5	88.3	12.9
89	51.4	47.8	109.8	16.7
90	9.3	4.9	134.3	11.2
91	33.0	1.5	28.6	7.3
92	59.0	33.5	217.7	19.4
93	72.3	36.5	250.9	22.2
94	10.9	14.0	107.4	11.5
95	52.9	31.6	163.3	16.9
96	5.9	3.5	197.6	11.7
97	22.0	21.0	184.9	15.5
98	51.2	42.3	289.7	25.4
99	45.9	41.7	135.2	17.2
100	49.8	4.3	222.4	11.7
101	100.9	36.3	296.4	23.8
102	21.4	10.1	280.2	14.8
103	17.9	17.2	187.9	14.7
104	5.3	34.3	238.2	20.7
105	59.0	46.4	137.9	19.2
106	29.7	11.0	25.0	7.2
107	23.2	0.3	90.4	8.7
108	25.6	0.4	13.1	5.3
109	5.5	26.9	255.4	19.8
110	56.5	8.2	225.8	13.4
111	23.2	38.0	241.7	21.8
112	2.4	15.4	175.7	14.1
113	10.7	20.6	209.6	15.9
114	34.5	46.8	78.2	14.6
115	52.7	35.0	75.1	12.6
116	25.6	14.3	139.2	12.2
117	14.8	0.8	76.4	9.4
118	79.2	36.9	125.7	15.9
119	22.3	16.0	19.4	6.6
120	46.2	26.8	141.3	15.5
121	50.4	21.7	18.8	7.0
122	15.6	2.4	224.0	11.6
123	12.4	34.6	123.1	15.2
124	74.2	32.3	229.5	19.7
125	25.9	11.8	87.2	10.6
126	50.6	38.9	7.8	6.6
127	9.2	0.0	80.2	8.8
128	3.2	49.0	220.3	24.7
129	43.1	12.0	59.6	9.7
130	8.7	39.6	0.7	1.6
131	43.0	2.9	265.2	12.7
132	2.1	27.2	8.4	5.7
133	45.1	33.5	219.8	19.6
134	65.6	38.6	36.9	10.8
135	8.5	47.0	48.3	11.6
136	9.3	39.0	25.6	9.5
137	59.7	28.9	273.7	20.8
138	20.5	25.9	43.0	9.6
139	1.7	43.9	184.9	20.7
140	12.9	17.0	73.4	10.9
141	75.6	35.4	193.7	19.2
142	37.9	33.2	220.5	20.1
143	34.4	5.7	104.6	10.4
144	38.9	14.8	96.2	11.4
145	9.0	1.9	140.3	10.3
146	8.7	7.3	240.1	13.2
147	44.3	49.0	243.2	25.4
148	11.9	40.3	38.0	10.9
149	20.6	25.8	44.7	10.1
150	37.0	13.9	280.7	16.1
151	48.7	8.4	121.0	11.6
152	14.2	23.3	197.6	16.6
153	37.7	39.7	171.3	19.0
154	9.5	21.1	187.8	15.6
155	5.7	11.6	4.1	3.2
156	50.5	43.5	93.9	15.3
157	24.3	1.3	149.8	10.1
158	45.2	36.9	11.7	7.3
159	34.6	18.4	131.7	12.9
160	30.7	18.1	172.5	14.4
161	49.3	35.8	85.7	13.3
162	25.6	18.1	188.4	14.9
163	7.4	36.8	163.5	18.0
164	5.4	14.7	117.2	11.9
165	84.8	3.4	234.5	11.9
166	21.6	37.6	17.9	8.0
167	19.4	5.2	206.8	12.2
168	57.6	23.6	215.4	17.1
169	6.4	10.6	284.3	15.0
170	18.4	11.6	50.0	8.4
171	47.4	20.9	164.5	14.5
172	17.0	20.1	19.6	7.6
173	12.8	7.1	168.4	11.7
174	13.1	3.4	222.4	11.5
175	41.8	48.9	276.9	27.0
176	20.3	30.2	248.4	20.2
177	35.2	7.8	170.2	11.7
178	23.7	2.3	276.7	11.8
179	17.6	10.0	165.6	12.6
180	8.3	2.6	156.6	10.5
181	27.4	5.4	218.5	12.2
182	29.7	5.7	56.2	8.7
183	71.8	43.0	287.6	26.2
184	30.0	21.3	253.8	17.6
185	19.6	45.1	205.0	22.6
186	26.6	2.1	139.5	10.3
187	18.2	28.7	191.1	17.3
188	3.7	13.9	286.0	15.9
189	23.4	12.1	18.7	6.7
190	5.8	41.1	39.5	10.8
191	6.0	10.8	75.5	9.9
192	31.6	4.1	17.2	5.9
193	3.6	42.0	166.8	19.6
194	6.0	35.6	149.7	17.3
195	13.8	3.7	38.2	7.6
196	8.1	4.9	94.2	9.7
197	6.4	9.3	177.0	12.8
198	66.2	42.0	283.6	25.5
199	8.7	8.6	232.1	13.4
